idd,section,desktop_position,mobile_position,viewport,data_hash,issue
2016890,"Турниры / program_summaries #12 (Стандарт, Латина)",14,14,390px,f1eac4baaa36,
2016890,"Турниры / program_summaries #13 (Стандарт, Латина)",15,15,390px,5aee58e2b3ce,
2016890,Более строгие судьи,1,1,430px,ef63720f6e9e,
2016890,Более мягкие судьи,2,2,430px,29d626cdcbbc,
2016890,"Турниры / program_summaries #1 (Стандарт, Латина)",3,3,430px,8fe2937cedab,
2016890,"Турниры / program_summaries #2 (Стандарт, Латина)",4,4,430px,856a248fe836,
2016890,"Турниры / program_summaries #3 (Стандарт, Латина)",5,5,430px,f7893e76a216,
2016890,"Турниры / program_summaries #4 (Стандарт, Латина)",6,6,430px,014aa36067b1,
2016890,"Турниры / program_summaries #5 (Стандарт, Латина)",7,7,430px,4cdb86a2b21a,
2016890,"Турниры / program_summaries #6 (Стандарт, Латина)",8,8,430px,4ab94372230b,
2016890,"Турниры / program_summaries #7 (Стандарт, Латина)",9,9,430px,f5117c30d8a1,
2016890,"Турниры / program_summaries #8 (Стандарт, Латина)",10,10,430px,d7219e9d7533,
2016890,"Турниры / program_summaries #9 (Стандарт, Латина)",11,11,430px,f919ef982034,
2016890,"Турниры / program_summaries #10 (Стандарт, Латина)",12,12,430px,f9dc9d15d783,
2016890,"Турниры / program_summaries #11 (Стандарт, Латина)",13,13,430px,f4855d23939f,
2016890,"Турниры / program_summaries #12 (Стандарт, Латина)",14,14,430px,f1eac4baaa36,
2016890,"Турниры / program_summaries #13 (Стандарт, Латина)",15,15,430px,5aee58e2b3ce,
